QTL Search | OZ Sorghum						
QTL Id	Publication	Population	Trait Description	LG:Start-End (v3.0)	Genes Under QTL (v3.0)	Synteny
QDMGR5.12	Fiedler et al 2016	Pop2	Dry matter growth rate	5:1430590-5579545	400	
QDMGR5.15	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	5:4095457-4095481	1	
QDMGR5.1	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	5:5660971-5713604	6	
QDMGR5.2	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	5:5660971-5713604	6	
QDMGR5.3	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	5:5660971-5713604	6	
QDMGR5.14	Fiedler et al 2016	Pop2	Dry matter growth rate	5:7875565-64523971	1090	
QDMGR5.13	Fiedler et al 2016	Pop2	Dry matter growth rate	5:8864361-68635866	1380	
QDMGR5.16	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	5:13418245-51890668	343	
QDMGR5.4	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	5:52631762-53654747	11	
QDMGR5.5	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	5:54780030-56243347	41	
QDMGR5.6	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	5:61415751-62271210	56	
QDMGR5.7	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	5:63616966-64144778	41	
QDMGR5.8	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	5:63616966-64144778	41	
QDMGR5.9	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	5:63616966-64144778	41	
QDMGR5.10	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	5:63616966-64144778	41	
QDMGR5.11	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	5:63616966-64144778	41	
QDMGR6.1	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	6:44626281-44937590	12	
QDMGR6.2	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	6:44626281-44937590	12	
QDMGR6.3	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	6:44963076-44986245	1	
QDMGR6.4	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	6:46284520-46359469	9	
QDMGR6.9	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	6:49047403-49500095	63	
QDMGR6.5	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	6:56643828-56833459	26	
QDMGR6.6	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	6:56643828-56833459	26	
QDMGR6.8	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	6:58493693-59806930	191	
QDMGR6.7	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	6:60245589-60394307	23	
QDMGR7.1	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:2373496-2457779	12	
QDMGR7.2	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:2373496-2457779	12	
QDMGR7.3	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:2373496-2457779	12	
QDMGR7.15	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:2373496-2457779	12	
QDMGR7.4	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:9473597-10025441	26	
QDMGR7.5	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:39543566-48379318	51	
QDMGR7.6	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:39543566-48379318	51	
