QTL Search | OZ Sorghum						
QTL Id	Publication	Population	Trait Description	LG:Start-End (v3.0)	Genes Under QTL (v3.0)	Synteny
QHGHT9.48	Higgins et al 2014	"Families A&B&C: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406)), (SC1203/(LandracexBTx406))"	Height (plant height)	9:57910496-57920351	2	
QHGHT9.52	Felderhoff et al 2012	BTx3197/Rio	Height (plant height)	9:57918177-58684613	93	
QHGHT9.50	Higgins et al 2014	FamilyE: SC991/(LandracexBTx406)	Height (plant height)	9:57919119-57928974	2	
QHGHT9.51	Guan et al 2011	Shihong137/L-Tian	Height (plant height)	9:57938250-57975981	4	
QHGHT9.70	Zhao et al 2016	Sorghum Association Panel (SAP)	Height (plant height)	9:57938294-57948149	2	
QHGHT9.71	Zhao et al 2016	Sorghum Association Panel (SAP)	Height (plant height)	9:57951888-57961743	0	
QHGHT9.53	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	9:57965000-57974855	2	
QHGHT9.54	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	9:57965000-57974855	2	
QHGHT9.55	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	9:57965000-57974855	2	
QHGHT9.58	Higgins et al 2014	FamilyB: SC757/(LandracexBTx406)	Height (plant height)	9:58013103-58711162	87	
QHGHT9.59	Higgins et al 2014	"Families A&B: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406))"	Height (plant height)	9:58013103-58711162	87	
QHGHT9.60	Higgins et al 2014	"Families A&B: (SC673/(LandracexBTx406)), (SC757/(LandracexBTx406))"	Height (plant height)	9:58013103-58711162	87	
QHGHT9.79	Yamaguchi et al 2016	bmr-6/SIL-05	Height (plant height)	9:59192467-59398238	30	
QHGHT9.98	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	9:60000000-60000000	0	
QHGHT9.99	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	9:60000000-60000000	0	
QHGHT10.13	Mocoeur et al 2015	E-Tian/Ji2731	Height (plant height)	10:1518275-8359099	797	
QSHGT10.3	McCormick et al 2017	BTx623/IS3620C	shoot height	10:5270000-7590000	242	
QSHGT10.4	McCormick et al 2017	BTx623/IS3620C	shoot height	10:5270000-8600000	323	
QSHCH10.1	McCormick et al 2017	BTx623/IS3620C	shoot cylinder height	10:5270000-52240000	1256	
QSHCH10.2	McCormick et al 2017	BTx623/IS3620C	shoot cylinder height	10:5270000-52520000	1283	
QHGHT10.2	Pereira and Lee 1995	CK60/PI229828	Height (plant height)	10:5813066-50273259	1073	
QPLEN10.6	Pereira et al 1995	CK60/PI229828	Panicle length	10:6049853-46078458	892	
QHGHT10.1	Feltus et al 2006	BTx623/IS3620C	Height Uniformity	10:7356520-9741996	199	
QHGHT10.3	Hart et al 2001	BTx623/IS3620C	Height (plant height)	10:7649482-11172964	244	
QHGHT10.4	Feltus et al 2006	BTx623/IS3620C	Height (plant height)	10:7686253-10509489	203	
QHGHT10.17	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	10:8044545-51747348	941	
QHGHT10.5	Shiringani et al 2010	M71/SS79	Height (plant height)	10:8640125-45554247	632	
QHGHT10.18	Liu et al 2019	Tx623 x S. virgatum	Height (plant height)	10:9185221-52571741	913	
QHGHT10.16	Kong et al 2018	BTx623/IS3620C	Height (plant height)	10:10627652-13583029	130	
QHGHT10.6	Upadhyaya et al 2012b	mini-core set	Height (plant height)	10:50276643-50526633	7	
QHGHT10.14	Mocoeur et al 2015	E-Tian/Ji2731	Height (plant height)	10:52112522-56441485	413	
QHGHT10.8	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	10:52619425-56427175	365	
QHGHT10.10	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	10:52648924-56417593	364	
QHGHT10.9	Madhusudhana and Patil 2013	296B/IS18551	Height (plant height)	10:52963428-56323082	326	
QHGHT10.7	Wang et al 2014a	R931945-2-2*2/S. bicolor subsp. verticilliflorum	Height (plant height)	10:53415467-53742139	26	
QPLEN10.10	Rami et al 1998	IS2807/379	Panicle length	10:53547068-56414894	286	
QPEDL10.1	Parh 2005	IS8525/R931945-2-2	Peduncle length	10:54127905-56896731	291	
QHGHT10.11	Rajkumar et al 2013	E36-1/SPV570	Height (plant height)	10:56548575-60429301	492	
QHGHT10.12	Upadhyaya et al 2012b	mini-core set	Height (plant height)	10:58818244-60429267	233	
QHGHT10.15	Bouchet et al 2017	Nested Association Mapping set US	Height (plant height)	10:58838623-60429280	229	
