genotype	max_height_cm	max_growth_cm_gdd
PI535785	309.407152755424	0.407431427644553
PI221651	214.584881646384	0.287456491836266
PI329618	313.737088408786	0.326470285643727
PI154987	243.890235923247	0.40889625986364
PI570096	275.332269336958	0.353637982767187
PI641892	312.537816436881	0.446229340997183
PI146890	302.743349477931	0.424724366730618
PI641824	343.367875102478	0.422805395421211
PI526905	302.040355839077	0.294384118116943
PI257599	268.208928585384	0.332997069438972
PI642998	326.923350703515	0.300003032764993
PI521019	308.863124881994	0.390188997983272
PI297130	309.143038689412	0.425553665779606
PI257600	299.533418641245	0.431801806270398
PI585467	289.369584357521	0.296335127601371
PI570145	325.627394757262	0.322246000014264
PI562970	340.811496776922	0.424363860952129
PI156890	274.46475430783	0.373137715190568
PI563222	258.911607651471	0.321179546406655
PI157804	282.279149415915	0.52313498878363
PI329710	289.253574679526	0.379562055886996
PI455217	341.328689121647	0.476118577897223
PI651496	284.936194302741	0.366681717279969
PI152971	311.595275562933	0.450634770046804
PI155760	349.786362377121	0.427510047492
PI641807	289.507510126823	0.40836193859661
PI329665	283.146616035542	0.348341012300125
PI521290	333.04667521083	0.376293583224716
PI329310	358.5261870079	0.425500536532528
PI569244	298.374186303786	0.374767369807784
PI152733	325.248200747388	0.496402291266332
PI641829	314.748695224472	0.434654113274198
PI337689	315.196694933785	0.388967439369026
PI452619	345.507461863687	0.40511931763913
PI583832	327.045881513265	0.36141166570272
PI570087	262.73433526477	0.337455587743534
PI505722	287.064721368989	0.320451711398568
PI569090	341.542721774494	0.454332365616659
PI329326	260.043575112954	0.428766109875456
PI534165	292.549793921105	0.356893369946382
PI63715	337.840794141639	0.391872429817828
PI651495	317.55812220973	0.446921127593995
PI329333	295.121307707876	0.376580789304385
PI330796	288.061580444809	0.315146332443704
PI195754	342.550817541974	0.426195541049624
PI563032	308.051151949126	0.391696805365368
PI563295	327.404792597969	0.398857337446938
PI641815	303.003140052519	0.352124862683253
PI154944	269.953710707703	0.343103537073167
PI145633	299.328954052027	0.421004328806056
PI569452	284.272954533744	0.417095242063236
PI330858	258.624933346105	0.349969920975928
PI152860	298.369915939317	0.417117835504306
PI251672	311.460476795738	0.39509844887797
PI196049	357.801631497971	0.404935396926469
PI569148	298.353655504511	0.335971461843281
PI175919	339.453614117507	0.445640673594666
PI570110	280.711744401694	0.408334864390795
PI585454	261.637041348344	0.421375488483139
